product_name                       , category         , brand  , model_number, cost_price, competitor_price, stock, demand_score, current_price
Apple APP-AH276 Bluetooth Speaker  , Bluetooth Speaker, Apple  , APP-AH276   ,      16795,                 ,   106,           72,         22424
Apple APP-PA026 Smartwatch         , Smartwatch       , Apple  , APP-PA026   ,      14964,                 ,   121,           83,         18391
Xiaomi XIA-SS442 Smartwatch        , Smartwatch       , Xiaomi , XIA-SS442   ,       7426,                 ,   116,          100,          8820
Samsung SAM-TE422 Camera           , Camera           , Samsung, SAM-TE422   ,      31023,                 ,    52,            2,         38631
Dell DEL-CJ332 Camera              , Camera           , Dell   , DEL-CJ332   ,      74735,                 ,    37,            2,         97135
Boat BOA-NZ358 Mobile              , Mobile           , Boat   , BOA-NZ358   ,      11311,                 ,   160,           76,         15243
Dell DEL-PS022 Smartwatch          , Smartwatch       , Dell   , DEL-PS022   ,      22769,                 ,   235,           89,         27491
Xiaomi XIA-WJ481 Mobile            , Mobile           , Xiaomi , XIA-WJ481   ,      31658,                 ,   219,           60,         37038
Xiaomi XIA-RS606 Earbuds           , Earbuds          , Xiaomi , XIA-RS606   ,       1475,                 ,   189,           47,          1651
Xiaomi XIA-EJ965 Smartwatch        , Smartwatch       , Xiaomi , XIA-EJ965   ,       6005,                 ,    54,           64,          6664
Dell DEL-VU203 Bluetooth Speaker   , Bluetooth Speaker, Dell   , DEL-VU203   ,      18912,                 ,    50,            7,         20121
Apple APP-FY836 Earbuds            , Earbuds          , Apple  , APP-FY836   ,       6664,                 ,    17,            4,          7897
Lenovo LEN-LG252 Smart TV          , Smart TV         , Lenovo , LEN-LG252   ,      28792,                 ,   241,            9,         38572
LG LG-XK295 Smartwatch             , Smartwatch       , LG     , LG-XK295    ,      26897,                 ,    83,           92,         29029
Samsung SAM-WD165 Mobile           , Mobile           , Samsung, SAM-WD165   ,      29483,                 ,     7,           47,         32036
LG LG-PM259 Smart TV               , Smart TV         , LG     , LG-PM259    ,      55920,                 ,   103,            4,         63057
Apple APP-RN261 Bluetooth Speaker  , Bluetooth Speaker, Apple  , APP-RN261   ,       2021,                 ,   105,            4,          2437
Sony SON-LY825 Smart TV            , Smart TV         , Sony   , SON-LY825   ,      60757,                 ,   145,           90,         64365
JBL JBL-XW266 Laptop               , Laptop           , JBL    , JBL-XW266   ,      96211,                 ,   189,          100,        128138
Dell DEL-TO750 Laptop              , Laptop           , Dell   , DEL-TO750   ,      57606,                 ,   199,           78,         76417
Boat BOA-AY883 Earbuds             , Earbuds          , Boat   , BOA-AY883   ,       4298,                 ,   189,           40,          5184
Xiaomi XIA-WY040 Mobile            , Mobile           , Xiaomi , XIA-WY040   ,      30276,                 ,    81,           53,         35320
JBL JBL-TD452 Camera               , Camera           , JBL    , JBL-TD452   ,     101807,                 ,   187,           41,        117793
Canon CAN-LF572 Camera             , Camera           , Canon  , CAN-LF572   ,      53044,                 ,    64,           89,         68461
LG LG-ZQ451 Earbuds                , Earbuds          , LG     , LG-ZQ451    ,       3068,                 ,   235,            8,          3932
Apple APP-IP220 Laptop             , Laptop           , Apple  , APP-IP220   ,      73190,                 ,    80,            8,         94754
Samsung SAM-FX802 Bluetooth Speaker, Bluetooth Speaker, Samsung, SAM-FX802   ,      14986,                 ,   122,            5,         19287
Boat BOA-FD954 Bluetooth Speaker   , Bluetooth Speaker, Boat   , BOA-FD954   ,       4561,                 ,    40,           28,          5279
Boat BOA-UE044 Camera              , Camera           , Boat   , BOA-UE044   ,      37662,                 ,    11,           34,         49149
Samsung SAM-RZ043 Smart TV         , Smart TV         , Samsung, SAM-RZ043   ,      72256,                 ,   150,           62,         77246
Apple APP-GE442 Camera             , Camera           , Apple  , APP-GE442   ,     138684,                 ,   103,           86,        175973
Apple APP-LW509 Laptop             , Laptop           , Apple  , APP-LW509   ,      49538,                 ,   226,           47,         60355
Samsung SAM-ZY814 Camera           , Camera           , Samsung, SAM-ZY814   ,     113806,                 ,   102,           27,        145818
LG LG-XE039 Laptop                 , Laptop           , LG     , LG-XE039    ,      25206,                 ,    41,           77,         29699
Boat BOA-HS776 Camera              , Camera           , Boat   , BOA-HS776   ,      65015,                 ,    51,           96,         80678
Sony SON-EF070 Smart TV            , Smart TV         , Sony   , SON-EF070   ,      38141,                 ,   230,           15,         41642
Samsung SAM-BM950 Earbuds          , Earbuds          , Samsung, SAM-BM950   ,       3742,                 ,    12,           32,          4157
Apple APP-WB084 Smartwatch         , Smartwatch       , Apple  , APP-WB084   ,      19198,                 ,    85,           28,         21826
Xiaomi XIA-PB065 Smartwatch        , Smartwatch       , Xiaomi , XIA-PB065   ,      13817,                 ,    61,           57,         17095
HP HP-FS236 Earbuds                , Earbuds          , HP     , HP-FS236    ,       3560,                 ,    27,           44,          4668
Boat BOA-IT049 Earbuds             , Earbuds          , Boat   , BOA-IT049   ,       1863,                 ,    74,           92,          2455
