product_name,category,brand,model_name,variant,cost_price,competitor_price,stock,demand_score,current_price
Samsung Galaxy A14 5G (8GB/128GB),Mobile,Samsung,Galaxy A14 5G,8GB/128GB,44674,53608.8,119,28,49087
Samsung Galaxy M34 5G (6GB/128GB),Mobile,Samsung,Galaxy M34 5G,6GB/128GB,11062,13999.0,231,86,12295
Samsung Galaxy S21 FE 5G (6GB/128GB),Mobile,Samsung,Galaxy S21 FE 5G,6GB/128GB,14632,17499.0,212,25,17594
Samsung Galaxy A54 5G (8GB/256GB),Mobile,Samsung,Galaxy A54 5G,8GB/256GB,17561,29990.0,109,18,20832
Xiaomi Redmi Note 12 5G (8GB/128GB),Mobile,Xiaomi,Redmi Note 12 5G,8GB/128GB,14371,21998.0,34,8,16468
Xiaomi Redmi 12C (8GB/256GB),Mobile,Xiaomi,Redmi 12C,8GB/256GB,23728,16998.0,42,41,27294
Xiaomi Poco X5 Pro 5G (4GB/64GB),Mobile,Xiaomi,Poco X5 Pro 5G,4GB/64GB,27123,22490.0,226,59,31553
Xiaomi Poco M6 Pro 5G (8GB/256GB),Mobile,Xiaomi,Poco M6 Pro 5G,8GB/256GB,18554,14990.0,229,33,22595
OnePlus Nord CE 3 Lite 5G (4GB/64GB),Mobile,OnePlus,Nord CE 3 Lite 5G,4GB/64GB,42285,26998.0,70,4,46346
OnePlus Nord 3 5G (6GB/128GB),Mobile,OnePlus,Nord 3 5G,6GB/128GB,38370,31998.0,95,24,41211
OnePlus Ace 2V (8GB/128GB),Mobile,OnePlus,Ace 2V,8GB/128GB,40736,24998.0,243,31,43703
Realme Realme 11 Pro 5G (8GB/256GB),Mobile,Realme,Realme 11 Pro 5G,8GB/256GB,13324,27990.0,223,6,16217
Realme Realme Narzo 60 5G (6GB/128GB),Mobile,Realme,Realme Narzo 60 5G,6GB/128GB,17659,10499.0,4,79,21457
Vivo Vivo Y16 (6GB/128GB),Mobile,Vivo,Vivo Y16,6GB/128GB,9117,14499.0,62,57,10040
Vivo Vivo V29 5G (6GB/128GB),Mobile,Vivo,Vivo V29 5G,6GB/128GB,9846,14499.0,26,51,11279
Vivo Vivo T2 5G (4GB/64GB),Mobile,Vivo,Vivo T2 5G,4GB/64GB,41043,10499.0,118,68,44852
Oppo Oppo A78 5G (8GB/128GB),Mobile,Oppo,Oppo A78 5G,8GB/128GB,45976,16900.0,1,90,52632
Oppo Oppo Reno 10 5G (6GB/128GB),Mobile,Oppo,Oppo Reno 10 5G,6GB/128GB,10828,12149.0,259,33,12354
Apple iPhone 13 (6GB/128GB),Mobile,Apple,iPhone 13,6GB/128GB,80745,51990.0,261,23,91458
Apple iPhone 14 (6GB/128GB),Mobile,Apple,iPhone 14,6GB/128GB,37219,64900.0,168,2,40653
Apple iPhone SE 3rd Gen (8GB/256GB),Mobile,Apple,iPhone SE 3rd Gen,8GB/256GB,43512,59990.0,273,9,47089
Motorola Moto G54 5G (8GB/128GB),Mobile,Motorola,Moto G54 5G,8GB/128GB,23231,11984.0,94,95,26877
Motorola Moto Edge 40 (4GB/64GB),Mobile,Motorola,Moto Edge 40,4GB/64GB,26988,6749.0,236,50,32193
Google Pixel 7a (6GB/128GB),Mobile,Google,Pixel 7a,6GB/128GB,26908,26890.0,137,34,31669
Google Pixel 6a (8GB/256GB),Mobile,Google,Pixel 6a,8GB/256GB,33162,42000.0,296,64,35504
Infinix Infinix Hot 30 5G (6GB/128GB),Mobile,Infinix,Infinix Hot 30 5G,6GB/128GB,18835,10499.0,267,14,22502
Infinix Infinix Zero 5G (8GB/256GB),Mobile,Infinix,Infinix Zero 5G,8GB/256GB,13941,20999.0,165,5,16617
Tecno Tecno Camon 20 (8GB/128GB),Mobile,Tecno,Tecno Camon 20,8GB/128GB,14546,9399.0,62,4,16893
Tecno Tecno Pova 5 (4GB/64GB),Mobile,Tecno,Tecno Pova 5,4GB/64GB,8065,17999.0,296,72,9055
Lava Lava Agni 2 5G (8GB/128GB),Mobile,Lava,Lava Agni 2 5G,8GB/128GB,12943,8669.0,23,63,14677
Lava Lava Blaze 5G (8GB/128GB),Mobile,Lava,Lava Blaze 5G,8GB/128GB,15184,7999.0,225,66,16659
iQOO iQOO Neo 7 5G (6GB/128GB),Mobile,iQOO,iQOO Neo 7 5G,6GB/128GB,18687,11498.0,39,51,20492
iQOO iQOO Z7 Pro 5G (6GB/128GB),Mobile,iQOO,iQOO Z7 Pro 5G,6GB/128GB,37149,11498.0,179,72,41356
Nokia Nokia G42 5G (6GB/128GB),Mobile,Nokia,Nokia G42 5G,6GB/128GB,13567,148.0,111,29,14742
Samsung Galaxy A14 5G (4GB/64GB),Mobile,Samsung,Galaxy A14 5G,4GB/64GB,35053,11490.0,157,38,42169
Samsung Galaxy M34 5G (4GB/64GB),Mobile,Samsung,Galaxy M34 5G,4GB/64GB,11120,8999.0,289,68,13045
Samsung Galaxy S21 FE 5G (6GB/128GB),Mobile,Samsung,Galaxy S21 FE 5G,6GB/128GB,42265,17499.0,118,38,48141
Samsung Galaxy A54 5G (4GB/64GB),Mobile,Samsung,Galaxy A54 5G,4GB/64GB,33710,6799.0,216,52,37775
Xiaomi Redmi Note 12 5G (8GB/256GB),Mobile,Xiaomi,Redmi Note 12 5G,8GB/256GB,11228,23998.0,157,47,12871
Xiaomi Redmi 12C (8GB/256GB),Mobile,Xiaomi,Redmi 12C,8GB/256GB,10891,16998.0,95,36,12889
Xiaomi Poco X5 Pro 5G (8GB/256GB),Mobile,Xiaomi,Poco X5 Pro 5G,8GB/256GB,8793,22490.0,69,20,9674
Xiaomi Poco M6 Pro 5G (8GB/128GB),Mobile,Xiaomi,Poco M6 Pro 5G,8GB/128GB,22153,10299.0,134,72,24696
OnePlus Nord CE 3 Lite 5G (8GB/128GB),Mobile,OnePlus,Nord CE 3 Lite 5G,8GB/128GB,15814,26998.0,218,13,17491
OnePlus Nord 3 5G (8GB/256GB),Mobile,OnePlus,Nord 3 5G,8GB/256GB,42581,29999.0,111,60,45822
OnePlus Ace 2V (8GB/128GB),Mobile,OnePlus,Ace 2V,8GB/128GB,34915,24998.0,133,37,37580
Realme Realme 11 Pro 5G (8GB/256GB),Mobile,Realme,Realme 11 Pro 5G,8GB/256GB,9126,27990.0,92,31,9896
Realme Realme Narzo 60 5G (6GB/128GB),Mobile,Realme,Realme Narzo 60 5G,6GB/128GB,29530,10499.0,296,41,34781
Vivo Vivo Y16 (6GB/128GB),Mobile,Vivo,Vivo Y16,6GB/128GB,22718,16499.0,101,21,24527
Vivo Vivo V29 5G (6GB/128GB),Mobile,Vivo,Vivo V29 5G,6GB/128GB,10645,14499.0,1,63,11601
Vivo Vivo T2 5G (6GB/128GB),Mobile,Vivo,Vivo T2 5G,6GB/128GB,11708,14499.0,137,74,13121
Oppo Oppo A78 5G (8GB/256GB),Mobile,Oppo,Oppo A78 5G,8GB/256GB,48224,20898.0,291,63,51153
Oppo Oppo Reno 10 5G (8GB/256GB),Mobile,Oppo,Oppo Reno 10 5G,8GB/256GB,43393,27999.0,210,91,52383
Apple iPhone 13 (6GB/128GB),Mobile,Apple,iPhone 13,6GB/128GB,71368,51990.0,251,51,82353
Apple iPhone 14 (6GB/128GB),Mobile,Apple,iPhone 14,6GB/128GB,80719,51990.0,180,70,93022
Apple iPhone SE 3rd Gen (4GB/64GB),Mobile,Apple,iPhone SE 3rd Gen,4GB/64GB,57359,283.0,285,63,63659
Motorola Moto G54 5G (8GB/128GB),Mobile,Motorola,Moto G54 5G,8GB/128GB,13757,14987.0,49,71,15066
Motorola Moto Edge 40 (4GB/64GB),Mobile,Motorola,Moto Edge 40,4GB/64GB,22395,6749.0,148,86,25383
Google Pixel 7a (8GB/256GB),Mobile,Google,Pixel 7a,8GB/256GB,46566,26890.0,49,71,56787
Google Pixel 6a (4GB/64GB),Mobile,Google,Pixel 6a,4GB/64GB,26759,23999.0,215,51,28651
Infinix Infinix Hot 30 5G (8GB/128GB),Mobile,Infinix,Infinix Hot 30 5G,8GB/128GB,7951,10999.0,32,30,9570
Infinix Infinix Zero 5G (4GB/64GB),Mobile,Infinix,Infinix Zero 5G,4GB/64GB,18568,7995.0,286,16,19790
Tecno Tecno Camon 20 (8GB/256GB),Mobile,Tecno,Tecno Camon 20,8GB/256GB,14186,19999.0,78,47,15186
Tecno Tecno Pova 5 (6GB/128GB),Mobile,Tecno,Tecno Pova 5,6GB/128GB,19481,15499.0,113,94,22315
Lava Lava Agni 2 5G (6GB/128GB),Mobile,Lava,Lava Agni 2 5G,6GB/128GB,18342,8669.0,288,10,22219
Lava Lava Blaze 5G (6GB/128GB),Mobile,Lava,Lava Blaze 5G,6GB/128GB,16093,8669.0,87,55,18414
iQOO iQOO Neo 7 5G (8GB/256GB),Mobile,iQOO,iQOO Neo 7 5G,8GB/256GB,34846,26998.0,247,67,40610
iQOO iQOO Z7 Pro 5G (8GB/256GB),Mobile,iQOO,iQOO Z7 Pro 5G,8GB/256GB,25682,13498.0,54,67,29300
Nokia Nokia G42 5G (8GB/128GB),Mobile,Nokia,Nokia G42 5G,8GB/128GB,15776,11999.0,264,34,18127
Samsung Galaxy A14 5G (8GB/128GB),Mobile,Samsung,Galaxy A14 5G,8GB/128GB,44911,11490.0,288,46,54710
Samsung Galaxy M34 5G (8GB/128GB),Mobile,Samsung,Galaxy M34 5G,8GB/128GB,22175,18999.0,165,54,24914
Samsung Galaxy S21 FE 5G (4GB/64GB),Mobile,Samsung,Galaxy S21 FE 5G,4GB/64GB,31389,37999.0,7,74,34744
Samsung Galaxy A54 5G (8GB/128GB),Mobile,Samsung,Galaxy A54 5G,8GB/128GB,26032,28999.0,147,19,28459
Xiaomi Redmi Note 12 5G (8GB/256GB),Mobile,Xiaomi,Redmi Note 12 5G,8GB/256GB,25692,18499.0,2,1,28965
Xiaomi Redmi 12C (8GB/128GB),Mobile,Xiaomi,Redmi 12C,8GB/128GB,27978,15998.0,195,87,30817
Xiaomi Poco X5 Pro 5G (8GB/128GB),Mobile,Xiaomi,Poco X5 Pro 5G,8GB/128GB,28875,22490.0,293,38,34445
Xiaomi Poco M6 Pro 5G (8GB/256GB),Mobile,Xiaomi,Poco M6 Pro 5G,8GB/256GB,21192,25430.4,280,81,23942
OnePlus Nord CE 3 Lite 5G (6GB/128GB),Mobile,OnePlus,Nord CE 3 Lite 5G,6GB/128GB,30517,26998.0,215,96,34728
OnePlus Nord 3 5G (4GB/64GB),Mobile,OnePlus,Nord 3 5G,4GB/64GB,43529,31998.0,14,9,46297
OnePlus Ace 2V (8GB/256GB),Mobile,OnePlus,Ace 2V,8GB/256GB,19033,26998.0,201,22,22104
Realme Realme 11 Pro 5G (8GB/128GB),Mobile,Realme,Realme 11 Pro 5G,8GB/128GB,27925,21999.0,29,98,33998
Realme Realme Narzo 60 5G (8GB/128GB),Mobile,Realme,Realme Narzo 60 5G,8GB/128GB,17996,13998.0,146,85,19128
Vivo Vivo Y16 (6GB/128GB),Mobile,Vivo,Vivo Y16,6GB/128GB,40653,14499.0,165,25,43529
Vivo Vivo V29 5G (6GB/128GB),Mobile,Vivo,Vivo V29 5G,6GB/128GB,21875,14499.0,27,57,23909
Vivo Vivo T2 5G (8GB/128GB),Mobile,Vivo,Vivo T2 5G,8GB/128GB,26029,15499.0,98,12,30640
Oppo Oppo A78 5G (4GB/64GB),Mobile,Oppo,Oppo A78 5G,4GB/64GB,17646,11499.0,190,46,20323
Oppo Oppo Reno 10 5G (8GB/256GB),Mobile,Oppo,Oppo Reno 10 5G,8GB/256GB,29609,39999.0,193,51,32173
Apple iPhone 13 (4GB/64GB),Mobile,Apple,iPhone 13,4GB/64GB,46555,51990.0,29,21,55091
Apple iPhone 14 (8GB/128GB),Mobile,Apple,iPhone 14,8GB/128GB,89567,64900.0,164,59,101206
Apple iPhone SE 3rd Gen (8GB/128GB),Mobile,Apple,iPhone SE 3rd Gen,8GB/128GB,66463,51990.0,98,55,76473
Motorola Moto G54 5G (8GB/128GB),Mobile,Motorola,Moto G54 5G,8GB/128GB,11711,14987.0,69,56,14169
Motorola Moto Edge 40 (4GB/64GB),Mobile,Motorola,Moto Edge 40,4GB/64GB,16715,6749.0,227,81,19161
Google Pixel 7a (6GB/128GB),Mobile,Google,Pixel 7a,6GB/128GB,49058,26890.0,201,26,56686
Google Pixel 6a (6GB/128GB),Mobile,Google,Pixel 6a,6GB/128GB,26524,23999.0,296,17,29576
Infinix Infinix Hot 30 5G (4GB/64GB),Mobile,Infinix,Infinix Hot 30 5G,4GB/64GB,8240,9599.0,104,42,9663
Infinix Infinix Zero 5G (4GB/64GB),Mobile,Infinix,Infinix Zero 5G,4GB/64GB,14970,9599.0,229,44,17830
Tecno Tecno Camon 20 (8GB/128GB),Mobile,Tecno,Tecno Camon 20,8GB/128GB,10549,9399.0,12,19,11190
Tecno Tecno Pova 5 (4GB/64GB),Mobile,Tecno,Tecno Pova 5,4GB/64GB,18307,17999.0,17,74,21770
Lava Lava Agni 2 5G (4GB/64GB),Mobile,Lava,Lava Agni 2 5G,4GB/64GB,7341,7499.0,264,95,8906
Lava Lava Blaze 5G (4GB/64GB),Mobile,Lava,Lava Blaze 5G,4GB/64GB,17344,7499.0,198,72,20212
iQOO iQOO Neo 7 5G (4GB/64GB),Mobile,iQOO,iQOO Neo 7 5G,4GB/64GB,37993,26998.0,143,59,43247
