product_name                         , category, brand   , model_name        , variant  , cost_price, competitor_price, stock, demand_score, current_price
Samsung Galaxy A14 5G (8GB/128GB)    , Mobile  , Samsung , Galaxy A14 5G     , 8GB/128GB,      44674,          11490.0,   119,           28,         49087
Samsung Galaxy M34 5G (6GB/128GB)    , Mobile  , Samsung , Galaxy M34 5G     , 6GB/128GB,      11062,          13999.0,   231,           86,         12295
Samsung Galaxy S21 FE 5G (6GB/128GB) , Mobile  , Samsung , Galaxy S21 FE 5G  , 6GB/128GB,      14632,          39998.0,   212,           25,         17594
Samsung Galaxy A54 5G (8GB/256GB)    , Mobile  , Samsung , Galaxy A54 5G     , 8GB/256GB,      17561,          29990.0,   109,           18,         20832
Xiaomi Redmi Note 12 5G (8GB/128GB)  , Mobile  , Xiaomi  , Redmi Note 12 5G  , 8GB/128GB,      14371,          15998.0,    34,            8,         16468
Xiaomi Redmi 12C (8GB/256GB)         , Mobile  , Xiaomi  , Redmi 12C         , 8GB/256GB,      23728,          16998.0,    42,           41,         27294
Xiaomi Poco X5 Pro 5G (4GB/64GB)     , Mobile  , Xiaomi  , Poco X5 Pro 5G    , 4GB/64GB ,      27123,          22490.0,   226,           59,         31553
Xiaomi Poco M6 Pro 5G (8GB/256GB)    , Mobile  , Xiaomi  , Poco M6 Pro 5G    , 8GB/256GB,      18554,          14990.0,   229,           33,         22595
OnePlus Nord CE 3 Lite 5G (4GB/64GB) , Mobile  , OnePlus , Nord CE 3 Lite 5G , 4GB/64GB ,      42285,          26998.0,    70,            4,         46346
OnePlus Nord 3 5G (6GB/128GB)        , Mobile  , OnePlus , Nord 3 5G         , 6GB/128GB,      38370,          34998.0,    95,           24,         41211
OnePlus Ace 2V (8GB/128GB)           , Mobile  , OnePlus , Ace 2V            , 8GB/128GB,      40736,          24998.0,   243,           31,         43703
Realme Realme 11 Pro 5G (8GB/256GB)  , Mobile  , Realme  , Realme 11 Pro 5G  , 8GB/256GB,      13324,          27990.0,   223,            6,         16217
Realme Realme Narzo 60 5G (6GB/128GB), Mobile  , Realme  , Realme Narzo 60 5G, 6GB/128GB,      17659,          21190.8,     4,           79,         21457
Vivo Vivo Y16 (6GB/128GB)            , Mobile  , Vivo    , Vivo Y16          , 6GB/128GB,       9117,          14499.0,    62,           57,         10040
Vivo Vivo V29 5G (6GB/128GB)         , Mobile  , Vivo    , Vivo V29 5G       , 6GB/128GB,       9846,          14499.0,    26,           51,         11279
Vivo Vivo T2 5G (4GB/64GB)           , Mobile  , Vivo    , Vivo T2 5G        , 4GB/64GB ,      41043,          10499.0,   118,           68,         44852
Oppo Oppo A78 5G (8GB/128GB)         , Mobile  , Oppo    , Oppo A78 5G       , 8GB/128GB,      45976,          16900.0,     1,           90,         52632
Oppo Oppo Reno 10 5G (6GB/128GB)     , Mobile  , Oppo    , Oppo Reno 10 5G   , 6GB/128GB,      10828,          12149.0,   259,           33,         12354
Apple iPhone 13 (6GB/128GB)          , Mobile  , Apple   , iPhone 13         , 6GB/128GB,      80745,          96894.0,   261,           23,         91458
Apple iPhone 14 (6GB/128GB)          , Mobile  , Apple   , iPhone 14         , 6GB/128GB,      37219,          44662.8,   168,            2,         40653
Apple iPhone SE 3rd Gen (8GB/256GB)  , Mobile  , Apple   , iPhone SE 3rd Gen , 8GB/256GB,      43512,          64900.0,   273,            9,         47089
Motorola Moto G54 5G (8GB/128GB)     , Mobile  , Motorola, Moto G54 5G       , 8GB/128GB,      23231,          14987.0,    94,           95,         26877
Motorola Moto Edge 40 (4GB/64GB)     , Mobile  , Motorola, Moto Edge 40      , 4GB/64GB ,      26988,          32385.6,   236,           50,         32193
Google Pixel 7a (6GB/128GB)          , Mobile  , Google  , Pixel 7a          , 6GB/128GB,      26908,          32289.6,   137,           34,         31669
Google Pixel 6a (8GB/256GB)          , Mobile  , Google  , Pixel 6a          , 8GB/256GB,      33162,          39794.4,   296,           64,         35504
Infinix Infinix Hot 30 5G (6GB/128GB), Mobile  , Infinix , Infinix Hot 30 5G , 6GB/128GB,      18835,          22602.0,   267,           14,         22502
Infinix Infinix Zero 5G (8GB/256GB)  , Mobile  , Infinix , Infinix Zero 5G   , 8GB/256GB,      13941,          16729.2,   165,            5,         16617
Tecno Tecno Camon 20 (8GB/128GB)     , Mobile  , Tecno   , Tecno Camon 20    , 8GB/128GB,      14546,          17455.2,    62,            4,         16893
Tecno Tecno Pova 5 (4GB/64GB)        , Mobile  , Tecno   , Tecno Pova 5      , 4GB/64GB ,       8065,           9678.0,   296,           72,          9055
Lava Lava Agni 2 5G (8GB/128GB)      , Mobile  , Lava    , Lava Agni 2 5G    , 8GB/128GB,      12943,          15531.6,    23,           63,         14677
Lava Lava Blaze 5G (8GB/128GB)       , Mobile  , Lava    , Lava Blaze 5G     , 8GB/128GB,      15184,          18220.8,   225,           66,         16659
iQOO iQOO Neo 7 5G (6GB/128GB)       , Mobile  , iQOO    , iQOO Neo 7 5G     , 6GB/128GB,      18687,          22424.4,    39,           51,         20492
iQOO iQOO Z7 Pro 5G (6GB/128GB)      , Mobile  , iQOO    , iQOO Z7 Pro 5G    , 6GB/128GB,      37149,          44578.8,   179,           72,         41356
Nokia Nokia G42 5G (6GB/128GB)       , Mobile  , Nokia   , Nokia G42 5G      , 6GB/128GB,      13567,          16280.4,   111,           29,         14742
Samsung Galaxy A14 5G (4GB/64GB)     , Mobile  , Samsung , Galaxy A14 5G     , 4GB/64GB ,      35053,          42063.6,   157,           38,         42169
Samsung Galaxy M34 5G (4GB/64GB)     , Mobile  , Samsung , Galaxy M34 5G     , 4GB/64GB ,      11120,          13344.0,   289,           68,         13045
Samsung Galaxy S21 FE 5G (6GB/128GB) , Mobile  , Samsung , Galaxy S21 FE 5G  , 6GB/128GB,      42265,          50718.0,   118,           38,         48141
Samsung Galaxy A54 5G (4GB/64GB)     , Mobile  , Samsung , Galaxy A54 5G     , 4GB/64GB ,      33710,          40452.0,   216,           52,         37775
Xiaomi Redmi Note 12 5G (8GB/256GB)  , Mobile  , Xiaomi  , Redmi Note 12 5G  , 8GB/256GB,      11228,          13473.6,   157,           47,         12871
Xiaomi Redmi 12C (8GB/256GB)         , Mobile  , Xiaomi  , Redmi 12C         , 8GB/256GB,      10891,          13069.2,    95,           36,         12889
