product_name,category,brand,model_name,variant,cost_price,current_price,competitor_price,stock,demand_score,price_diff,margin,competitor_ratio,recommended_price
Samsung Galaxy A14 (8GB/256GB),Mobile,Samsung,Galaxy A14,8GB/256GB,49961,54060,59953.2,238,33,9992.199999999997,4099,1.1999999999759812,57304.05
Samsung Galaxy M34 (8GB/128GB),Mobile,Samsung,Galaxy M34,8GB/128GB,17481,19592,20977.2,11,78,3496.2000000000007,2111,1.199999999931354,20166.48
Samsung Galaxy S21 FE (4GB/64GB),Mobile,Samsung,Galaxy S21 FE,4GB/64GB,11804,15905,14164.8,171,23,2360.7999999999993,4101,1.1999999998983395,15581.28
Samsung Galaxy A54 (8GB/128GB),Mobile,Samsung,Galaxy A54,8GB/128GB,36533,38070,43839.6,78,78,7306.5999999999985,1537,1.199999999967153,41647.62
Apple iPhone 12 (4GB/64GB),Mobile,Apple,iPhone 12,4GB/64GB,23980,25077,28776.0,238,21,4796.0,1097,1.1999999999499582,27337.2
Apple iPhone 13 (8GB/256GB),Mobile,Apple,iPhone 13,8GB/256GB,38510,39364,46212.0,28,69,7702.0,854,1.1999999999688393,43901.4
Apple iPhone 14 (4GB/64GB),Mobile,Apple,iPhone 14,4GB/64GB,18759,22104,22510.8,138,60,3751.7999999999993,3345,1.1999999999360307,21661.95
Apple iPhone SE 3 (6GB/128GB),Mobile,Apple,iPhone SE 3,6GB/128GB,58202,62060,69842.4,83,91,11640.399999999994,3858,1.199999999979382,66350.28
Xiaomi Redmi Note 12 (4GB/64GB),Mobile,Xiaomi,Redmi Note 12,4GB/64GB,28393,30755,34071.6,158,84,5678.5999999999985,2362,1.199999999957736,34250.46
Xiaomi Redmi 12C (4GB/64GB),Mobile,Xiaomi,Redmi 12C,4GB/64GB,9116,14724,10939.2,49,43,1823.2000000000007,5608,1.1999999998683633,12033.12
Xiaomi Poco X5 Pro (6GB/128GB),Mobile,Xiaomi,Poco X5 Pro,6GB/128GB,56026,57372,67231.2,179,32,11205.199999999997,1346,1.1999999999785813,63869.64
Xiaomi Poco M6 Pro (8GB/256GB),Mobile,Xiaomi,Poco M6 Pro,8GB/256GB,40597,41965,48716.4,190,77,8119.4000000000015,1368,1.1999999999704412,46280.58
OnePlus Nord CE 3 Lite (8GB/256GB),Mobile,OnePlus,Nord CE 3 Lite,8GB/256GB,26434,30878,31720.8,217,2,5286.799999999999,4444,1.1999999999546038,30134.76
OnePlus Nord 3 (8GB/128GB),Mobile,OnePlus,Nord 3,8GB/128GB,39511,43719,47413.2,79,55,7902.199999999997,4208,1.1999999999696287,45042.54
OnePlus Ace 2V (4GB/64GB),Mobile,OnePlus,Ace 2V,4GB/64GB,30063,35995,36075.6,100,69,6012.5999999999985,5932,1.1999999999600837,36240.46
Realme Realme 11 Pro (8GB/128GB),Mobile,Realme,Realme 11 Pro,8GB/128GB,20461,22044,24553.2,123,63,4092.2000000000007,1583,1.1999999999413518,23325.54
Realme Realme Narzo 60 (6GB/128GB),Mobile,Realme,Realme Narzo 60,6GB/128GB,33040,38466,39648.0,271,67,6608.0,5426,1.1999999999636803,37750.74
Vivo Vivo Y16 (8GB/128GB),Mobile,Vivo,Vivo Y16,8GB/128GB,18158,20177,21789.6,138,87,3631.5999999999985,2019,1.1999999999339133,21417.88
Vivo Vivo V29 (8GB/128GB),Mobile,Vivo,Vivo V29,8GB/128GB,33690,36552,40428.0,225,55,6738.0,2862,1.1999999999643811,38406.6
Vivo Vivo T2 (6GB/128GB),Mobile,Vivo,Vivo T2,6GB/128GB,23689,26486,28426.8,75,47,4737.799999999999,2797,1.1999999999493436,27005.46
Oppo Oppo A78 (8GB/128GB),Mobile,Oppo,Oppo A78,8GB/128GB,53658,58895,64389.6,129,98,10731.599999999999,5237,1.199999999977636,61170.12
Oppo Oppo Reno 10 (6GB/128GB),Mobile,Oppo,Oppo Reno 10,6GB/128GB,26248,27559,31497.6,263,84,5249.5999999999985,1311,1.199999999954282,29922.72
